a 亜
hei 瓶
hei 病
hei 閉
hei 陛
heki 僻
heki 壁
heki 癖
heki 碧
hen 偏
hen 変
hen 片
hen 篇
hen 編
hen 辺
hen 返
hen 遍
hera 篦
heri 縁
heso 臍
heta 蔕
hettsui 灶
hettui 灶
hi 卑
hi 否
hi 妃
hi 彼
hi 悲
hi 扉
hi 批
hi 披
hi 梭
hi 樋
hi 比
hi 泌
hi 火
hi 灯
hi 疲
hi 皮
hi 碑
hi 秘
hi 緋
hi 罷
hi 肥
hi 被
hi 費
hi 避
hi 非
hi 飛
hichiko 雛
hida 襞
hidari 左
hidume 蹄
hie 稗
higashi 東
higasi 東
hige 髭
higuma 羆
hiji 肘
hijiri 聖
hikari 光
hiki 匹
hima 暇
hime 姫
hin 品
hin 浜
hin 貧
hin 賓
hin 頻
hina 鄙
hina 雛
hira 平
hire 鰭
hiro 尋
hiru 昼
hiru 蛭
hisago 瓠
hisashi 庇
hisasi 庇
hishi 菱
hisi 菱
hitai 額
hitiko 雛
hito 人
hitoe 単
hitomi 瞳
hitsu 匹
hitsu 必
hitsu 櫃
hitsu 泌
hitsu 筆
hitsugi 柩
hitsugi 棺
hitsuji 未
hitsuji 羊
hitu 匹
hitu 必
hitu 櫃
hitu 泌
hitu 筆
hitugi 柩
hitugi 棺
hituzi 未
hituzi 羊
hiza 膝
hizi 肘
hiziri 聖
hizume 蹄
ho 保
ho 帆
ho 捕
ho 歩
ho 浦
ho 穂
ho 舗
ho 補
ho 輔
hobo 略
hodo 程
hoho 頬
hoka 他
hoka 外
hokora 祠
hokori 埃
hoku 北
hon 反
hon 叛
hon 奔
hon 本
hon 翻
hone 骨
honoo 炎
hoo 頬
hora 洞
hori 堀
horo 幌
hoshi 星
hoshii 糒
hoshiimama 縦
hosi 星
hosii 糒
hosiimama 縦
hota 榾
hotaru 蛍
hotoke 仏
hotori 辺
hotsu 法
hotsu 発
hotu 法
hotu 発
hou 俸
hou 倣
hou 包
hou 報
hou 奉
hou 宝
hou 封
hou 峰
hou 崩
hou 抛
hou 抱
hou 捧
hou 放
hou 方
hou 朋
hou 法
hou 泡
hou 砲
hou 縫
hou 胞
hou 芳
hou 苞
hou 褒
hou 訪
hou 豊
hou 邦
hou 鋒
hou 飽
hou 鳳
houki 帚
hozo 枘
hozo 臍
hu 不
hu 付
hu 夫
hu 婦
hu 富
hu 布
hu 府
hu 怖
hu 扶
hu 敷
hu 斑
hu 普
hu 歩
hu 浮
hu 父
hu 符
hu 絩
hu 腐
hu 腑
hu 膚
hu 訃
hu 譜
hu 負
hu 賦
hu 赴
hu 輔
hu 附
hu 風
huchi 淵
hude 筆
hue 笛
huigo 鞴
huji 藤
huku 伏
huku 副
huku 幅
huku 復
huku 服
huku 福
huku 腹
huku 複
huku 覆
hukuro 袋
humi 文
