가솔 家率
가쇄 假刷
가쇄 枷鎖
가쇄하다 假刷하다
가쇄하다 枷鎖하다
가수 假數
가수 假需
가수 價數
가수 嫁樹
가수 枷囚
가수 歌手
가수금 假受金
가수분해 加水分解
가수요 假需要
가수용소 假收容所
가수하다 枷囚하다
가숙 家塾
가스관 가스管
가스난로 가스煖爐
가스등 가스燈
가스병기 가스兵器
가스사 가스絲
가스성운 가스星雲
가스액 가스液
가스온도계 가스溫度計
가스전 가스戰
가스전 가스田
가스전구 가스電球
가스전지 가스電池
가스중독 가스中毒
가스직 가스織
가스총 가스銃
가스층 가스層
가스탄 가스彈
가스폭탄 가스爆彈
가스풍로 가스風爐
가슴관 가슴管
가슴만 가슴卍
가슴상 가슴像
가슴운동 가슴運動
가습기 加濕器
가승 加升
가승 家乘
가승 家升
가승미 加升米
가승하다 加升하다
가시 假時
가시 可視
가시각 可視角
가시거리 可視距離
가시관 가시冠
가시광선 可視光線
가시련 가시蓮
가시면류관 가시冕旒冠
가시목 가시木
가시선 可視線
가시성 가시城
가시신호 可視信號
가시연꽃 가시蓮꽃
가시연밥 가시蓮밥
가시철 가시鐵
가시철사 가시鐵絲
가시통 가시桶
가시화 可視化
가시화하다 可視化하다
가식 假植
가식 假飾
가식하다 假植하다
가식하다 假飾하다
가신 佳辰
가신 嘉辰
가신 家信
가신 家神
가신 家臣
가신신앙 家神信仰
가신제 家神祭
가실 嘉實
가실왕 嘉實王
가십난 가십欄
가아 假我
가악 歌樂
가압 加壓
가압기 加壓機
가압류 假押留
가압류하다 假押留하다
가압하다 加壓하다
가액 價額
가액 加額
가액하다 加額하다
가야 伽倻
가야 伽耶
가야 加耶
가야국 伽倻國
가야금 伽倻琴
가야금산조 伽倻琴散調
가약 佳約
가약정 假約定
가약하다 佳約하다
가양 家樣
가양 家釀
가양주 家釀酒
가양하다 家釀하다
가어 家語
가언 佳言
가언 假言
가언 嘉言
가언명제 假言命題
가언적 假言的
가언적삼단논법 假言的三段論法
가언판단 假言判斷
가업 家業
가업 稼業
가여 駕輿
가역 可逆
가역 家役
가역반응 可逆反應
가역변화 可逆變化
가연 佳緣
가연 家宴
가연물 可燃物
가연성 可燃性
가열 假熱
가열 加熱
가열기 加熱器
가열하다 加熱하다
가열하다 苛烈하다
가열히 苛烈히
가엽 假葉
가영 歌詠
가영하다 歌詠하다
가예산 假豫算
가오리연 가오리鳶
가옥 家屋
가옥대장 家屋臺帳
가옥세 家屋稅
가온음 가온音
가외 加外
가욋일 加外일
가요 歌謠
가요계 歌謠界
가요곡 歌謠曲
가요문 哥窯紋
가요성 可撓性
가용 可用
가용 家用
가용물 可溶物
가용성 可溶性
가용성 可鎔性
가용인구 可容人口
가용하다 家用하다
가우일 嘉優日
가우절 嘉優節
가운 家運
가운뎃점 가운뎃點
가위 可謂
가위다리봉사 가위다리奉祀
가위다리양자 가위다리養子
가위다리양자하다 가위다리養子하다
가위다리차 가위다리車
가위염 가위簾
가위표 가위標
가유 假有
가유 加由
가유하다 加由하다
가융성 可融性
가융합금 可融合金
가의 加意
가의 加衣
가의대부 嘉義大夫
가이 可이
가이동가이서 可以東可以西
가인 佳人
가인 家人
가인 歌人
가인괘 家人卦
가인박명 佳人薄命
가인재자 佳人才子
가일 佳日
가일 嘉日
가일 暇日
가일과 加一瓜
가일층 加一層
가입 加入
가입전신 加入電信
가입전화 加入電話
가입하다 加入하다
가자 假子
가자 加資
가자 嫁資
가자 家資
가자 架子
가자 茄子
가자군 架子軍
가자첩 加資帖
가자체 加資帖
가작 佳作
가작 假作
가작약 家芍藥
가작하다 假作하다
가작허결 假作虛結
가잠 家蠶
가장 假葬
가장 假裝
가장 家藏
가장 家長
가장 家狀
가장권 家長權
가장귀창 가장귀槍
가장녀 假裝女
가장무도 假裝舞蹈
가장무도회 假裝舞蹈會
가장비 假張飛
가장집물 家藏什物
가장하다 假葬하다
가장하다 假裝하다
가장하다 家藏하다
가장행렬 假裝行列
가재 家財
가재기물 家財器物
가재도구 家財道具
가재수염 가재鬚髥
가적하다 佳適하다
가전 家傳
가전 駕前
가전군 駕前軍
가전별초 駕前別抄
가전비방 家傳秘方
가전제품 家電製品
가전지보 家傳之寶
가전체 假傳體
가전체소설 假傳體小說
가전하다 家傳하다
가절 佳節
가절하다 佳絶하다
가점 加點
가점하다 加點하다
가정 假定
가정 假晶
가정 家丁
가정 家庭
가정 家政
가정 苛政
가정경제 家政經濟
가정과 家政科
가정교사 家庭敎師
가정교육 家庭敎育
가정교훈 家庭敎訓
가정극 家庭劇
가정대부 嘉靖大夫
가정란 家庭欄
가정면 家庭面
가정방문 家庭訪問
가정법 假定法
가정법원 家庭法院
가정복 家庭服
가정부 家政婦
가정부인 家庭婦人
가정불화 家庭不和
가정상비약 家庭常備藥
가정생활 家庭生活
가정소설 家庭小說
가정약 家庭藥
가정오랑캐 家丁오랑캐
가정의 家庭醫
가정의례 家庭儀禮
가정적 家庭的
가정집 家庭집
가정통신 家庭通信
가정파괴범 家庭破壞犯
가정하다 假定하다
가정학 家政學
가정학습 家庭學習
가제 假製
가제 假諦
가제 加除
가제 家弟
가제본 假製本
가제본하다 假製本하다
가제식 加除式
가제하다 假製하다
가제하다 加除하다
가조 佳兆
가조 假造
가조 嘉兆
가조 家祖
가조각 假爪角
가조약 假條約
가조인 假調印
가조인되다 假調印되다
가조인하다 假調印하다
가조하다 假造하다
가족 假足
가족 家族
가족계획 家族計劃
가족법 家族法
가족석 家族席
가족수당 家族手當
가족적 家族的
가족제도 家族制度
가족탕 家族湯
가족회의 家族會議
가존 家尊
가종피 假種皮
가좌 家座
가좌 跏坐
가좌적간 家座摘奸
가죄 加罪
가죄 嫁罪
가죄하다 加罪하다
가죄하다 嫁罪하다
가주 佳酒
가주 假主
가주 假株
가주 嘉酒
가주 家主
가주권 假株券
가주소 假住所
가죽나무 假죽나무
가죽위 가죽韋
가중 加重
